ensgene,length,SRR493366,SRR493367,SRR493368,SRR493369,SRR493370,SRR493371
ENSG00000187545,1525,0,0,0,0,0,0
ENSG00000204510,1660,0,0,0,0,0,0
ENSG00000232423,2170,0,0,0,0,0,0
ENSG00000280267,2392,0,0,0,0,0,0
ENSG00000274764,1927,0,0,0,0,0,0
ENSG00000229571,2013,0,0,0,0,0,0
ENSG00000277058,1148,0,0,0,0,1,0
ENSG00000275774,1148,0,0,1,0,0,0
ENSG00000179412,882,2,2,0,2,1,1
ENSG00000204505,1863,0,0,0,0,0,0
ENSG00000279804,2104,0,0,0,0,0,0
ENSG00000270601,1720,0,0,0,0,0,0
ENSG00000182330,1937,0,0,0,0,0,0
ENSG00000204501,1960,0,0,0,0,0,0
ENSG00000204481,2301,0,0,0,0,0,0
ENSG00000204480,1233,0,0,0,0,0,0
ENSG00000204479,1578,0,0,0,0,0,0
ENSG00000204478,1597,0,0,0,0,0,0
ENSG00000162494,2209,0,0,0,0,0,0
ENSG00000162493,3707,34,27,32,49,65,79
ENSG00000116731,10923,484,505,634,413,450,525
ENSG00000189337,12644,240,244,360,186,196,234
ENSG00000171729,2240,229,305,325,748,695,925
ENSG00000142621,12805,1,0,1,0,2,1
ENSG00000142634,2531,1205,1351,1774,604,661,754
ENSG00000162438,3486,0,0,0,0,1,0
ENSG00000142615,1519,0,0,0,0,0,0
ENSG00000215704,1457,0,0,0,0,0,0
ENSG00000132906,5269,70,76,105,105,100,124
ENSG00000116138,8563,456,509,620,804,832,1024
ENSG00000116771,2500,11,10,13,14,18,13
ENSG00000197312,12136,326,411,483,767,871,1054
ENSG00000215695,1854,0,0,0,0,0,0
ENSG00000116786,4122,1177,1374,1777,1704,1817,2200
ENSG00000162461,3195,1,2,1,5,1,4
ENSG00000162460,1520,0,0,0,0,0,0
ENSG00000162458,4716,2391,2703,3460,2591,2912,3444
ENSG00000233954,2180,95,133,125,113,133,138
ENSG00000065526,13294,786,988,1072,927,912,1101
ENSG00000116809,4240,355,365,461,425,436,565
ENSG00000183888,3039,0,0,0,0,0,0
ENSG00000173641,3910,49,39,70,18,21,18
ENSG00000186510,3476,0,0,0,0,0,1
ENSG00000184908,2939,2,0,1,0,0,0
ENSG00000185519,1701,11,8,15,5,13,16
ENSG00000142627,4159,1544,1736,2254,2531,2754,3393
ENSG00000142632,3745,93,94,127,105,125,136
ENSG00000132881,1545,44,54,81,79,89,109
ENSG00000037637,8984,376,440,588,438,562,600
ENSG00000055070,4747,2008,2454,3066,3681,4127,4927
ENSG00000187144,4506,0,0,0,1,0,0
ENSG00000157191,5559,1133,1274,1613,1278,1401,1633
ENSG00000268991,510,0,0,0,0,0,0
ENSG00000219481,12212,302,338,453,314,359,412
ENSG00000237847,510,0,0,0,0,0,0
ENSG00000279132,511,0,0,0,0,0,0
ENSG00000058453,8871,167,222,308,312,361,428
ENSG00000117122,2915,122,113,140,474,533,632
ENSG00000159363,5253,622,700,946,908,943,1116
ENSG00000117118,2462,712,810,1034,496,499,603
ENSG00000117115,5984,0,0,0,0,0,0
ENSG00000142623,4903,2,1,6,1,1,1
ENSG00000142619,3189,0,0,0,0,0,0
ENSG00000159339,2971,0,0,0,0,0,0
ENSG00000280226,189,0,0,0,0,0,0
ENSG00000276747,2396,0,0,0,0,0,0
ENSG00000179051,4126,1118,1281,1613,2249,2370,2968
ENSG00000074964,7817,234,242,316,183,187,246
ENSG00000117148,1864,0,1,1,0,1,0
ENSG00000117154,3085,0,0,0,0,0,0
ENSG00000179023,5145,0,0,0,0,0,0
ENSG00000009709,6313,0,0,0,0,0,0
ENSG00000179002,2542,0,0,0,0,0,0
ENSG00000255275,4369,0,0,0,0,0,0
ENSG00000159423,3689,146,172,226,218,270,283
ENSG00000169991,6188,281,313,354,305,352,419
ENSG00000127481,24675,4629,5261,6394,5585,5913,6845
ENSG00000127463,10650,2522,2688,3537,2067,2306,2602
ENSG00000053372,2822,658,765,1003,484,559,704
ENSG00000162482,1710,3,3,4,2,4,4
ENSG00000053371,1781,488,536,698,580,632,687
ENSG00000040487,2686,225,237,311,407,380,555
ENSG00000077549,3238,4480,5250,6729,4536,5206,5865
ENSG00000173436,5227,166,185,235,159,178,220
ENSG00000270136,2493,0,0,0,0,0,0
ENSG00000158747,3465,168,213,245,156,177,164
ENSG00000158748,1984,0,1,0,0,0,0
ENSG00000162542,4054,116,153,214,89,114,144
ENSG00000178828,1250,0,0,0,0,0,0
ENSG00000169914,6767,178,239,252,236,255,279
ENSG00000188784,785,0,0,0,0,0,0
ENSG00000188257,1685,0,0,0,0,0,0
ENSG00000127472,2607,0,0,5,2,0,1
ENSG00000117215,2681,0,0,0,0,0,0
ENSG00000158786,6440,0,0,0,0,0,0
ENSG00000187980,3298,0,0,0,0,0,0
ENSG00000162543,5571,0,0,0,0,0,1
ENSG00000158816,6377,0,0,0,1,0,0
ENSG00000162545,2615,1700,2036,2547,1811,1943,2280
ENSG00000090432,2438,487,508,742,622,603,822
ENSG00000183114,2572,2,0,5,2,3,8
ENSG00000158825,963,21,25,28,4,0,1
ENSG00000158828,4836,394,409,556,304,361,407
ENSG00000244038,2721,3602,3980,5079,4742,5243,6208
ENSG00000117245,4470,94,106,130,44,50,70
ENSG00000189410,4423,346,391,525,213,266,237
ENSG00000127483,7442,2140,2694,3185,2755,3299,3699
ENSG00000075151,8535,2473,2900,3632,4436,4758,6089
ENSG00000117298,7265,6816,7555,9939,9514,9984,11905
ENSG00000142794,6812,169,192,212,169,230,238
ENSG00000162551,3007,38,41,53,19,33,39
ENSG00000076864,5755,2,1,5,7,11,14
ENSG00000090686,9497,947,1094,1360,1069,1226,1361
ENSG00000187942,4490,2,4,2,1,4,3
ENSG00000142798,17666,9722,10493,14631,8262,8640,10332
ENSG00000219073,1541,0,0,0,0,0,0
ENSG00000142789,1224,0,0,0,0,0,0
ENSG00000070831,3598,3691,4471,5411,4343,5123,5827
ENSG00000162552,4527,2,2,1,5,3,8
ENSG00000184677,8992,342,386,523,637,614,815
ENSG00000070886,5358,0,0,0,0,0,1
ENSG00000173372,1272,0,0,0,0,0,0
ENSG00000159189,1335,0,0,0,0,0,0
ENSG00000173369,1601,0,0,0,0,0,0
ENSG00000133216,12516,2513,3126,3977,3059,3192,3720
ENSG00000215906,1641,0,0,0,0,0,0
ENSG00000227868,658,0,0,0,0,0,0
ENSG00000004487,5435,1384,1596,1980,1994,2247,2597
ENSG00000169641,9658,1542,1893,2200,1654,1826,2131
ENSG00000179546,2835,3,2,5,6,10,11
ENSG00000125944,8676,2070,2482,2979,1186,1406,1597
ENSG00000125945,4392,188,201,240,276,282,325
ENSG00000204219,3515,42,48,69,13,20,28
ENSG00000088280,4988,255,326,404,333,354,397
ENSG00000007968,5457,11,18,17,7,6,5
ENSG00000117318,1797,585,663,857,1275,1296,1713
ENSG00000197880,2142,0,0,0,1,1,3
ENSG00000142676,1987,6072,7118,8659,5086,5916,6538
ENSG00000011007,5391,1192,1290,1596,878,1032,1264
ENSG00000057757,2186,331,476,530,390,410,432
ENSG00000011009,2196,764,889,1171,1812,1873,2391
ENSG00000117308,3978,242,274,339,243,235,287
ENSG00000117305,5658,239,300,434,185,223,217
ENSG00000179163,2047,60,58,96,155,178,197
ENSG00000188822,5254,0,0,0,1,0,0
ENSG00000189266,2564,694,790,948,397,455,493
ENSG00000188529,10277,1231,1465,1875,1140,1447,1683
ENSG00000142661,9254,2,2,0,2,0,0
ENSG00000142677,2798,0,0,0,0,0,0
ENSG00000185436,4923,0,0,0,0,0,0
ENSG00000158055,3940,0,1,0,1,1,0
ENSG00000001460,8511,160,198,247,57,81,94
ENSG00000001461,9404,1824,2178,2776,1932,2128,2321
ENSG00000117602,7077,190,201,274,142,177,209
ENSG00000184454,4122,0,0,0,0,0,0
ENSG00000133226,8168,974,1245,1505,861,962,1090
ENSG00000169504,4495,11602,13936,16843,11046,13074,15388
ENSG00000020633,4523,2,1,3,11,11,28
ENSG00000117614,3370,294,390,398,667,684,824
ENSG00000117616,6804,214,162,257,411,324,415
ENSG00000187010,3313,3,2,2,5,10,8
ENSG00000183726,3410,1161,1369,1771,2177,2377,2821
ENSG00000188672,2433,6,4,2,4,4,2
ENSG00000204178,3979,410,457,595,606,702,819
ENSG00000157978,5397,293,289,387,343,398,413
ENSG00000117643,9026,265,279,349,464,513,530
ENSG00000162430,4424,2496,2622,3514,3868,4078,4789
ENSG00000255054,792,0,0,0,0,0,0
ENSG00000117640,5817,522,550,754,588,667,796
ENSG00000127423,2408,16,40,42,4,12,11
ENSG00000182749,3297,294,310,394,388,435,541
ENSG00000117632,6261,2450,3113,3989,2063,2390,2971
ENSG00000158006,3835,218,312,388,231,250,289
ENSG00000158008,4537,100,132,175,18,34,29
ENSG00000158014,3498,0,0,1,1,0,0
ENSG00000158022,2573,0,0,0,0,0,0
ENSG00000175087,4535,53,58,76,59,61,72
ENSG00000197245,1524,0,0,0,0,0,0
ENSG00000142684,1956,0,2,4,0,0,1
ENSG00000142675,4043,2,4,3,1,3,1
ENSG00000188782,2030,0,0,0,0,0,0
ENSG00000130695,5422,148,181,226,72,81,95
ENSG00000142669,1786,6050,6659,8780,6631,7247,8542
ENSG00000158062,4704,88,92,120,99,119,153
ENSG00000169442,935,0,1,0,2,0,1
ENSG00000176092,5871,0,0,0,1,0,1
ENSG00000176083,2379,0,0,0,0,0,0
ENSG00000131914,4008,0,0,0,0,1,0
ENSG00000117682,5596,668,812,971,492,575,609
ENSG00000198830,2509,1732,2008,2535,1491,1660,1905
ENSG00000117676,5884,48,46,55,87,92,114
ENSG00000117713,9246,1610,1804,2344,1694,1762,2103
ENSG00000060642,3382,122,132,185,122,107,143
ENSG00000204160,5436,599,742,971,553,634,730
ENSG00000175793,1320,0,0,0,0,0,0
ENSG00000142751,4979,432,498,596,481,531,617
ENSG00000198746,2225,106,119,180,177,201,218
ENSG00000090273,2856,1495,1600,1980,1256,1403,1737
ENSG00000131910,1156,0,2,0,0,0,0
ENSG00000175707,1793,0,0,0,0,0,2
ENSG00000253368,1976,2204,2483,3211,2925,2905,3782
ENSG00000158246,2368,72,72,106,20,24,34
ENSG00000280403,375,0,0,1,0,0,1
ENSG00000090020,5974,1380,1417,1842,1592,1661,2071
ENSG00000142784,6024,795,870,1089,452,540,615
ENSG00000186501,4476,435,509,572,631,682,839
ENSG00000142765,5584,3,1,1,2,0,5
ENSG00000142733,4951,309,327,445,284,323,381
ENSG00000142748,2167,3,2,2,0,1,0
ENSG00000174950,2041,0,0,0,0,0,0
ENSG00000181773,2115,38,58,74,86,92,112
ENSG00000158195,5676,2069,2324,2979,1882,2062,2209
ENSG00000126705,7157,519,631,816,468,543,587
ENSG00000000938,3474,0,0,0,0,0,0
ENSG00000126709,865,78,101,129,109,284,141
ENSG00000009780,4034,74,74,97,93,90,112
ENSG00000117758,3846,1095,1326,1560,1140,1441,1518
ENSG00000117751,2819,480,566,767,355,424,475
ENSG00000278868,171,0,0,0,0,0,0
ENSG00000130775,4621,50,53,85,34,44,44
ENSG00000117748,2019,343,408,493,350,377,420
ENSG00000130768,2670,0,0,0,0,0,0
ENSG00000158156,2743,191,244,324,344,363,411
ENSG00000158161,6483,425,435,537,558,628,712
ENSG00000169403,4706,0,2,2,2,3,2
ENSG00000126698,2888,1293,1452,1816,1131,1421,1579
ENSG00000130770,2225,664,778,910,708,854,922
ENSG00000130766,3453,684,743,1001,807,813,960
ENSG00000130772,2019,189,188,253,264,293,378
ENSG00000204138,7322,489,655,787,435,540,557
ENSG00000180198,3888,490,555,633,597,508,715
ENSG00000180098,4311,131,170,222,149,160,188
ENSG00000120656,2337,250,273,359,350,404,443
ENSG00000188060,2180,3,3,8,4,1,3
ENSG00000162419,6459,201,258,343,352,417,513
ENSG00000198492,3859,1080,1233,1601,1692,1963,2231
ENSG00000116329,9345,1,0,2,0,1,0
ENSG00000159023,8287,166,207,242,49,76,68
ENSG00000253304,2639,82,84,106,32,54,65
ENSG00000116350,3442,841,879,1170,864,956,1069
ENSG00000116353,3922,175,185,238,160,206,227
ENSG00000060656,6682,275,274,396,575,592,751
ENSG00000162510,4606,5,2,1,3,5,4
ENSG00000162511,3274,0,1,1,1,2,2
ENSG00000162512,7067,5075,5584,7127,5143,5667,6053
ENSG00000134644,6621,1302,1553,1969,1769,2094,2421
ENSG00000084628,2987,1,0,1,8,2,6
ENSG00000060688,3881,390,452,505,310,379,434
ENSG00000121766,1921,464,458,582,553,637,742
ENSG00000121769,1026,45,45,48,29,50,55
ENSG00000168528,3549,1691,1743,2425,1577,1718,2015
ENSG00000142910,5281,5,0,4,4,8,9
ENSG00000121764,2558,0,0,1,3,0,1
ENSG00000162517,2227,563,731,928,516,537,694
ENSG00000084636,9269,2437,2675,3584,1657,2015,2175
ENSG00000121753,7756,352,381,490,360,402,428
ENSG00000134668,7085,1267,1489,1894,551,686,673
ENSG00000184007,6431,3789,4570,5571,4432,5192,5687
ENSG00000121774,3588,1946,2286,2910,2074,2301,2738
ENSG00000121775,2820,155,168,230,151,171,222
ENSG00000025800,7480,1816,2212,2614,2869,3066,3619
ENSG00000084652,5103,1946,2219,2823,2726,3042,3615
ENSG00000160050,2818,101,107,140,122,110,141
ENSG00000160051,2478,11,28,22,7,15,15
ENSG00000222046,1869,0,0,2,1,3,1
ENSG00000160055,3571,88,122,136,153,138,195
ENSG00000084623,1725,2786,3054,3900,1970,2073,2456
ENSG00000183615,936,7,4,9,10,7,12
ENSG00000182866,3339,0,0,1,0,0,0
ENSG00000116478,3963,1265,1402,1795,1673,1747,2126
ENSG00000175130,1699,2223,2595,3380,4647,4837,6138
ENSG00000162526,2191,2,1,3,0,2,4
ENSG00000225828,2845,9,6,11,16,24,27
ENSG00000160058,6271,1099,1241,1474,1627,1898,2259
ENSG00000254553,3447,0,0,0,0,0,0
ENSG00000273274,12834,0,0,0,0,0,0
ENSG00000160062,7075,86,98,85,121,144,125
ENSG00000176261,3531,226,240,327,202,224,273
ENSG00000162521,9470,1063,1282,1583,2098,2209,2790
ENSG00000162520,3487,358,420,536,33,56,39
ENSG00000162522,5965,225,259,345,78,77,99
ENSG00000134684,8212,2643,3050,3690,1550,1876,1938
ENSG00000116497,9194,302,339,417,421,419,539
ENSG00000160097,3139,6,4,4,10,7,5
ENSG00000121905,1991,0,0,3,2,0,2
ENSG00000121900,1417,180,193,280,143,187,164
ENSG00000116514,2610,190,188,244,293,318,390
ENSG00000004455,5727,1052,1248,1585,808,989,1139
ENSG00000142920,6559,45,59,99,88,102,102
ENSG00000116525,3646,282,283,400,259,302,367
ENSG00000160094,3331,281,332,422,291,356,388
ENSG00000184389,1023,0,2,0,1,1,0
ENSG00000134686,4975,1730,2121,2571,2740,2970,3700
ENSG00000121903,5308,98,102,137,122,115,133
ENSG00000121904,18157,44,33,47,41,55,35
ENSG00000176256,2561,0,0,0,0,0,0
ENSG00000142698,2576,0,0,0,0,0,0
ENSG00000163866,8091,345,415,529,493,544,649
ENSG00000189280,1355,1,1,3,2,4,5
ENSG00000189433,2840,0,0,0,0,0,0
ENSG00000188910,2387,0,0,0,0,1,0
ENSG00000187513,1717,0,0,0,0,0,1
ENSG00000116544,3977,1,0,0,2,2,2
ENSG00000271741,3099,0,0,0,0,0,1
ENSG00000243749,922,1,5,3,8,4,4
ENSG00000163867,9591,110,129,154,154,184,198
ENSG00000197056,4828,170,209,217,158,201,199
ENSG00000116560,7426,3448,3933,5120,3474,4029,4750
ENSG00000146463,7647,1067,1144,1441,1427,1567,1807
ENSG00000142687,9629,1151,1321,1669,1954,2071,2468
ENSG00000020129,4917,1012,1176,1505,1814,1665,2206
ENSG00000116819,2189,2,0,2,2,2,9
ENSG00000126067,4843,1631,1926,2314,1882,2102,2432
ENSG00000142686,3629,389,416,514,576,591,689
ENSG00000092853,5411,147,201,247,29,51,44
ENSG00000134698,7267,153,149,203,246,296,345
ENSG00000092847,12886,775,915,1107,837,938,1107
ENSG00000126070,20938,259,312,352,344,369,444
ENSG00000092850,1978,2,0,2,0,0,0
ENSG00000116863,1668,333,395,467,395,412,493
ENSG00000171812,4670,33,18,44,9,17,11
ENSG00000054116,3527,761,837,947,877,928,1115
ENSG00000116871,5271,3630,4053,5358,4497,4776,5721
ENSG00000054118,4736,2115,2461,3159,2584,2911,3254
ENSG00000214193,4474,31,62,58,25,25,46
ENSG00000142694,1211,508,529,729,944,979,1227
ENSG00000196182,5590,649,701,913,368,355,454
ENSG00000181817,1496,320,333,466,429,430,503
ENSG00000116885,2788,65,69,72,118,100,139
ENSG00000116898,2916,607,691,844,697,768,897
ENSG00000119535,8429,0,0,0,0,0,0
ENSG00000163873,10111,0,0,0,0,0,0
ENSG00000163874,3117,81,95,115,320,310,419
ENSG00000163875,3487,551,656,770,857,884,1111
ENSG00000163877,4888,185,236,290,318,287,410
ENSG00000163879,4456,104,123,168,140,161,217
ENSG00000134697,5745,888,1134,1379,969,1143,1303
ENSG00000169218,3089,0,0,0,0,0,0
ENSG00000116922,4434,200,168,240,227,220,280
ENSG00000134690,2469,425,514,667,62,71,62
ENSG00000183317,8152,0,0,0,0,0,0
ENSG00000185090,3018,3,6,7,14,11,17
ENSG00000196449,1826,260,343,408,433,578,657
ENSG00000197982,2231,473,552,622,735,759,857
ENSG00000188786,8024,383,480,593,833,808,999
ENSG00000204084,8930,200,224,272,179,204,212
ENSG00000183431,4740,1094,1329,1655,1071,1250,1384
ENSG00000183386,2004,542,595,764,370,416,479
ENSG00000183520,3385,408,469,585,460,541,642
ENSG00000185668,2968,0,1,2,5,5,3
ENSG00000116954,5167,278,333,422,206,216,251
ENSG00000214114,3039,186,194,294,101,113,125
ENSG00000274944,3251,0,0,0,1,0,0
ENSG00000131233,2057,0,0,0,0,1,1
ENSG00000158315,2795,14,16,19,4,10,10
ENSG00000174574,2741,1673,2054,2505,603,735,745
ENSG00000168653,548,1608,1873,2273,2261,2565,2856
ENSG00000127603,43102,7928,9277,8969,10809,11875,11946
ENSG00000183682,1692,2,0,0,3,1,2
ENSG00000090621,6782,2792,3234,3940,2252,2529,2772
ENSG00000163909,3661,0,1,2,11,16,13
ENSG00000116981,1107,0,0,0,0,0,0
ENSG00000116983,4962,0,0,0,0,0,0
ENSG00000084072,8071,363,435,506,364,393,466
ENSG00000116985,5143,2,1,3,2,1,3
ENSG00000198754,1826,0,0,0,0,0,0
ENSG00000043514,2663,216,233,305,176,175,228
ENSG00000116990,5063,5,10,8,9,11,18
ENSG00000168389,4007,100,130,163,68,92,110
ENSG00000131236,3814,9827,11549,14647,9258,10614,12003
ENSG00000131238,3306,620,681,873,557,633,796
ENSG00000117000,6246,334,356,455,447,464,525
ENSG00000188800,889,0,0,0,0,0,0
ENSG00000084073,3572,1389,1712,2145,1725,1948,2250
ENSG00000049089,4151,13,26,32,26,25,29
ENSG00000084070,3631,784,1045,1301,939,1029,1239
ENSG00000187801,2386,85,129,136,206,218,281
ENSG00000187815,3248,34,24,48,51,57,76
ENSG00000164002,3092,62,58,95,87,94,98
